date,TE_8313B.AV_0#,PT_8313C.AV_0#,PTCA_8322A.AV_0#,TE_8319A.AV_0#,TE_8303.AV_0#,TE_8332A.AV_0#,ZZQBCHLL.AV_0#,FT_8301.AV_0#,FT_8306A.AV_0#,AIR_8301A.AV_0#,YFJ3_AI.AV_0#,YFJ3_ZD2.AV_0#,SXLTCYZ.AV_0#,ZCLCCY.AV_0#
2022-03-31 18:46:24,789.1016666666668,-207.02999999999997,9.868333333333332,368.215,222.07833333333335,539.6750000000001,63.45333333333334,43983.72166666667,676.58,1.9000000000000001,24.043333333333333,6.755,-179.67333333333332,9575.25
2022-03-31 18:46:54,786.6583333333333,-199.1966666666667,9.86,368.205,222.15666666666667,539.4066666666666,64.08,44454.85,677.4666666666667,1.9066666666666665,24.035,8.351666666666667,-185.10333333333332,9540.38
2022-03-31 18:47:24,784.7383333333333,-201.95333333333335,9.85,368.21000000000004,222.15166666666667,539.125,63.67333333333334,44491.043333333335,684.0799999999999,1.8250000000000002,24.05333333333333,7.05,-177.99666666666667,9555.373333333333
2022-03-31 18:47:54,785.6116666666667,-197.68666666666664,9.853333333333333,368.18666666666667,222.1783333333333,538.92,62.89333333333334,44407.64333333333,684.7216666666667,1.83,24.035,7.2683333333333335,-152.17333333333332,9583.62
2022-03-31 18:48:24,785.79,-203.65666666666667,9.865,368.205,222.21666666666667,538.8066666666667,63.35333333333333,44420.54666666667,677.3416666666667,1.8949999999999998,24.018333333333334,7.37,-182.10666666666665,9543.4
2022-03-31 18:48:54,786.6366666666667,-201.39499999999998,9.86,368.2,222.21166666666667,538.7466666666667,63.660000000000004,44493.56333333333,680.805,1.8949999999999998,24.02,8.061666666666666,-183.11666666666667,9531.836666666668
2022-03-31 18:49:24,787.5749999999999,-206.69500000000002,9.86,368.195,222.25666666666666,538.6016666666667,63.403333333333336,44076.87666666667,682.69,1.9283333333333335,24.061666666666667,7.886666666666667,-169.21,9568.356666666667
2022-03-31 18:49:54,787.8533333333334,-216.23499999999999,9.858333333333333,368.22166666666664,222.26333333333332,538.55,63.98666666666666,44341.236666666664,673.535,1.875,24.026666666666667,7.900000000000001,-197.58,9598.41
2022-03-31 18:50:24,787.5816666666666,-194.595,9.843333333333334,368.18333333333334,222.30499999999998,538.3766666666667,64.62,44764.845,678.3000000000001,1.8233333333333335,24.031666666666666,7.933333333333334,-180.17666666666665,9586.300000000001
2022-03-31 18:50:54,786.7033333333334,-195.35,9.836666666666666,368.1933333333333,222.32666666666668,538.205,64.64666666666666,44300.95333333333,678.8616666666667,1.7783333333333333,24.036666666666665,9.798333333333334,-151.14000000000001,9552.666666666666
2022-03-31 18:51:24,787.2599999999999,-193.85333333333332,9.823333333333332,368.1933333333333,222.38666666666666,537.9733333333334,65.16333333333334,44821.81333333333,676.4016666666666,1.8466666666666667,24.011666666666667,6.238333333333333,-160.4,9597.733333333334
2022-03-31 18:51:54,789.0533333333333,-188.975,9.803333333333335,368.165,222.37166666666667,537.6966666666666,65.41333333333334,44680.19,684.6566666666668,1.905,24.08,7.173333333333333,-158.58333333333334,9555.26
2022-03-31 18:52:24,789.82,-188.20166666666668,9.79,368.165,222.41833333333332,537.4416666666667,64.74666666666667,44078.450000000004,678.1783333333334,1.9466666666666665,24.060000000000002,8.385,-154.02333333333334,9571.736666666666
2022-03-31 18:52:54,788.3683333333333,-194.96,9.776666666666666,368.175,222.44500000000002,537.2183333333334,64.42666666666666,44391.27833333333,680.1,1.9783333333333333,24.025000000000002,8.453333333333333,-169.43666666666667,9578.473333333333
2022-03-31 18:53:24,788.0383333333333,-209.03,9.77,368.175,222.4333333333333,537.0500000000001,64.01666666666667,44482.861666666664,684.1933333333333,1.9583333333333333,24.03,8.091666666666667,-179.73333333333335,9598.63
2022-03-31 18:53:54,787.335,-205.15666666666667,9.771666666666667,368.1483333333333,222.47333333333333,536.99,62.99333333333333,44627.94666666666,681.59,1.9000000000000001,24.021666666666665,7.651666666666666,-186.1933333333333,9584.62
2022-03-31 18:54:24,787.355,-183.475,9.77,368.15333333333336,222.48000000000002,537.0,63.29,44291.511666666665,678.75,1.8083333333333333,24.035,7.723333333333334,-167.84333333333333,9591.35
2022-03-31 18:54:54,788.5283333333333,-176.455,9.776666666666666,368.1466666666667,222.51,537.0033333333333,63.169999999999995,44475.93833333333,684.2783333333333,1.8099999999999998,24.026666666666667,7.253333333333334,-152.59666666666666,9652.79
2022-03-31 18:55:24,789.6066666666667,-166.70333333333335,9.783333333333333,368.14000000000004,222.51666666666665,537.0316666666666,62.89000000000001,44821.81166666667,680.8316666666666,1.8133333333333335,24.066666666666666,7.511666666666667,-126.40999999999998,9622.076666666668
2022-03-31 18:55:54,790.6316666666667,-192.1916666666667,9.796666666666667,368.10999999999996,222.52166666666668,537.1316666666667,63.10333333333333,44587.35,678.0033333333333,1.765,24.066666666666666,8.38,-164.20666666666668,9624.196666666665
2022-03-31 18:56:24,792.255,-117.90166666666666,9.808333333333334,368.1366666666667,222.54,537.225,63.336666666666666,44501.11666666667,682.1583333333333,1.6916666666666667,24.09166666666667,6.146666666666667,-133.40666666666667,9686.01
2022-03-31 18:56:54,792.5450000000001,-144.63333333333333,9.805000000000001,368.2816666666667,222.54,537.2916666666666,62.82,43999.458333333336,679.2633333333333,1.8283333333333334,24.00333333333333,7.416666666666667,-85.42666666666668,9674.316666666666
2022-03-31 18:57:24,790.5450000000001,-201.32500000000002,9.798333333333334,368.53666666666663,222.56000000000003,537.4133333333333,63.31333333333333,44301.27,683.2566666666667,1.9766666666666666,24.01,8.353333333333333,-158.75333333333333,9689.873333333333
2022-03-31 18:57:54,788.2199999999999,-193.79833333333332,9.791666666666666,368.7083333333333,222.57500000000002,537.4716666666667,63.24666666666667,45410.335,682.0649999999999,2.0083333333333333,24.028333333333332,6.73,-175.50666666666666,9642.816666666668
2022-03-31 18:58:24,785.7199999999999,-209.57500000000002,9.796666666666667,368.895,222.61,537.51,62.71333333333333,44633.299999999996,684.3533333333334,2.0433333333333334,24.026666666666667,7.401666666666666,-183.62,9619.063333333334
2022-03-31 18:58:54,785.2316666666666,-219.35500000000002,9.801666666666668,368.9766666666667,222.63333333333333,537.5866666666667,62.910000000000004,44728.02666666667,682.135,2.085,24.03,7.796666666666667,-195.34333333333333,9648.076666666666
2022-03-31 18:59:24,785.8566666666666,-192.96,9.801666666666668,369.09,222.635,537.68,62.47,44796.32166666666,685.505,2.165,24.036666666666665,7.185,-176.32000000000002,9672.58
2022-03-31 18:59:54,786.9516666666667,-191.74166666666667,9.81,369.155,222.61833333333334,537.7333333333333,61.92333333333334,44182.30833333333,680.9583333333334,2.28,24.03,8.556666666666667,-140.34333333333333,9715.753333333332
2022-03-31 19:00:24,785.0683333333333,-205.70000000000002,9.815,369.22,222.58666666666667,537.82,62.28,44783.72833333333,680.1533333333333,2.3916666666666666,24.043333333333333,7.851666666666667,-172.90666666666667,9623.786666666667
