date,production_units,liters_produced,efficiency,gallons_per_hour,monitored_time_dec,operation_time_dec,pause_time_dec
2022-11-23,944,2832,0.7554043656644657,410.4155010108826,2.3001080555555546,1.7375116666666712,0.5625963888888834
2022-11-28,1596,4788,0.3219730730456053,238.261833150616,6.698513055555552,2.1567408333333287,4.541885833333332
2022-12-02,509,2545,0.3864415898727917,166.1963785624088,3.0626419444444406,1.1835322222222078,1.8792455555555672
2022-12-05,558,2790,0.5300976640637284,164.71539978292154,3.3876613888888856,1.795791388888884,2.2042086111111128
2022-12-06,1050,3150,0.1735314494220207,125.66205285252866,8.35574444444444,1.4499844444444407,6.859957499999999
2022-12-08,1856,5568,0.45515328419425094,266.3988431170931,6.966997222222218,3.1710516666666657,3.828948333333328
2022-12-13,1394,6970,0.2930143930951305,141.11450993695414,9.878502222222213,2.8945433333333397,6.999067777777764
2022-12-16,225,675,0.41175806584885893,226.88154122591683,0.9917069444444434,0.4083433333333258,0.5833233333333401
2022-12-19,543,2715,0.1538450709451443,94.56740082505084,5.741936388888883,0.8833686111111159,4.858575833333323
2022-12-20,1941,5823,0.5186774482690634,321.39119760858034,6.039368888888885,3.1324844444444553,2.9069599999999842
2022-12-21,2148,10740,0.44440819441612167,262.2482298464927,8.190713055555548,3.6400199999999963,4.3599799999999975
2022-12-22,1337,4011,0.4162260436890271,217.53535051135873,6.146127499999996,2.5581783333333292,3.4418216666666654
2022-12-23,1058,5290,0.8138854058095999,335.85702268145985,3.150149999999998,2.56386111111111,1.2041944444444428
2022-12-26,342,1026,0.5707405423175764,374.7762666049758,0.9125444444444428,0.5208261111111128,0.3916738888888866
2022-12-27,1203,3609,0.27722328702199484,184.41641283931372,6.52328055555555,1.8084052777777742,4.7149280555555535
2022-12-28,813,2439,0.32881442520853915,187.60642520597588,4.333540277777774,1.424930555555552,2.9086805555555557
2022-12-30,1074,5370,0.4343873621983425,191.22945095771277,5.616289722222218,2.439645277777771,3.151188055555558
2023-01-02,312,1560,0.5326758111845433,343.4698528143615,0.9083766666666657,0.4838702777777777,0.4250186111111104
2023-01-11,1344,4032,0.7945235581660588,586.4421611964468,2.2917861111111106,1.8208780555555544,0.4707886111111104
2023-01-13,843,2529,0.5919258789051594,373.2670993734485,2.258436388888886,1.3368269444444483,0.921506388888883
2023-01-16,1904,5712,0.37885661402313076,303.21063809994035,6.279463055555551,2.3790161111111185,3.620983888888876
2023-01-19,1123,3369,0.7271613461636363,548.8926225752253,2.0459375,1.4877266666666646,0.6167177777777781
2023-01-20,1311,3933,0.5417730065774712,429.81602315083325,3.0501422222222208,1.6524847222222216,1.2627930555555538
2023-01-24,658,1974,0.6218718418711537,663.5011618552936,0.9917088888888889,0.6167158333333287,0.3457841666666705
2023-01-27,1692,5076,0.4619772394955214,317.90886612504437,5.322279999999997,2.4587722222222217,2.863727777777773
2023-01-31,855,4275,0.620656909342411,267.52318121392784,3.195984722222221,1.9836100000000079,1.2125011111111013
2023-02-07,611,3055,0.5642035372616608,229.8323569602865,2.6584594444444423,1.499912222222224,1.1584791666666643
2023-02-10,1289,3867,0.5020568849874323,265.9895523265834,4.846054999999995,2.432995277777769,2.9042269444444484
