Target_1,Output_1,Target_2,Output_2,Target_3,Output_3,Target_4,Output_4,Target_5,Output_5,Target_6,Output_6,Target_7,Output_7,Target_8,Output_8,Target_9,Output_9,Target_10,Output_10,Target_11,Output_11
68,104,130,161,204,232,278,303,278,309,352,403,426,443,488,486,562,547,600,575,600,575
68,54,130,136,204,205,278,259,278,280,352,344,426,405,488,461,562,524,600,558,600,558
68,15,130,61,204,106,278,172,278,192,352,231,426,316,488,354,562,404,600,469,600,469
119,45,227,168,356,281,485,344,485,386,614,468,743,546,851,689,980,768,1050,785,1050,785
119,598,227,647,356,690,485,705,485,707,614,716,743,748,851,759,980,775,1050,784,1050,784
131,106,249,183,391,365,533,481,533,553,675,631,817,734,935,819,1077,899,1150,948,1150,948
131,103,249,224,391,300,533,416,533,484,675,591,817,707,935,760,1077,903,1150,1005,1150,1005
131,867,249,905,391,949,533,980,533,996,675,1036,817,1091,935,1129,1077,1180,1150,1209,1150,1209
91,3,173,44,272,59,371,68,371,78,470,87,569,113,651,139,750,156,800,156,800,156
387,469,739,822,1158,1200,1577,1497,1577,1713,1996,2136,2415,2557,2767,2911,3186,3251,3400,3452,3400,3458
387,222,739,611,1158,869,1577,1159,1577,1207,1996,1726,2415,2022,2767,2233,3186,2472,3400,2739,3400,2739
387,111,739,250,1158,379,1577,519,1577,584,1996,742,2415,886,2767,1026,3186,1156,3400,1222,3400,1222
387,440,739,764,1158,1147,1577,1498,1577,1703,1996,2010,2415,2242,2767,2483,3186,2852,3400,3140,3400,3156
239,264,456,510,715,742,974,872,974,1037,1233,1237,1492,1430,1709,1671,1968,1860,2100,2079,2100,2079
239,290,456,501,715,719,974,940,974,1035,1233,1271,1492,1463,1709,1668,1968,1757,2100,1848,2100,1848
239,1555,456,1750,715,1984,974,2190,974,2309,1233,2498,1492,2684,1709,2879,1968,3059,2100,3149,2100,3149
188,257,376,420,564,590,752,759,752,777,940,1070,1128,1271,1316,1396,1504,1585,1600,1740,1600,1740
205,163,391,351,613,709,835,822,835,872,1057,1017,1279,1177,1465,1355,1687,1518,1800,1578,1800,1578
205,90,391,265,613,431,835,574,835,663,1057,778,1279,1040,1465,1127,1687,1334,1800,1413,1800,1413
205,179,391,300,613,423,835,622,835,686,1057,833,1279,1002,1465,1142,1687,1262,1800,1309,1800,1309
205,180,391,358,613,537,835,719,835,813,1057,1000,1279,1183,1465,1379,1687,1630,1800,1719,1800,1719
177,142,337,417,528,574,719,741,719,848,910,1023,1101,1154,1261,1314,1452,1480,1550,1570,1550,1570
177,138,337,382,528,525,719,680,719,815,910,916,1101,1011,1261,1320,1452,1409,1550,1668,1550,1668
177,141,337,256,528,419,719,621,719,660,910,811,1101,960,1261,1025,1452,1234,1550,1377,1550,1396
177,190,337,303,528,417,719,573,719,653,910,815,1101,967,1261,1123,1452,1299,1550,1438,1550,1447
115,104,219,240,343,351,467,471,467,497,591,618,715,703,819,809,943,898,1000,986,1000,986
74,60,141,112,221,166,301,234,301,237,381,299,461,349,528,395,608,416,650,455,650,455
239,190,456,492,715,684,974,972,974,1053,1233,1132,1492,1511,1709,1728,1968,1921,2100,2062,2100,2064
239,194,456,474,715,744,974,918,974,1036,1233,1248,1492,1459,1709,1631,1968,1911,2100,2025,2100,2025
105,26,205,78,320,108,435,213,435,217,550,246,665,391,775,417,890,435,1000,455,1000,481
70,47,143,162,230,211,317,294,317,308,404,398,491,496,564,558,651,636,700,670,700,670
70,42,143,91,230,130,317,163,317,164,404,213,491,259,564,302,651,356,700,404,700,407
70,105,133,156,209,209,285,276,285,289,361,362,437,411,500,457,576,523,650,567,650,567
70,66,133,119,209,187,285,257,285,285,361,350,437,399,500,460,576,526,650,593,650,593
70,72,133,126,209,179,285,225,285,262,361,347,437,388,500,458,576,514,650,538,650,538
70,51,133,88,209,113,285,168,285,219,361,251,437,315,500,398,576,477,650,528,650,528
268,71,510,139,801,212,1092,328,1092,409,1383,655,1674,903,1916,1826,2207,1939,2500,2075,2500,2075
268,196,510,382,801,543,1092,671,1092,682,1383,771,1674,963,1916,1158,2207,1365,2500,1590,2500,1657
268,3687,510,3964,801,4073,1092,4140,1092,4172,1383,4338,1674,4529,1916,4659,2207,4847,2500,4927,2500,4927
268,277,510,547,801,871,1092,1118,1092,1188,1383,1414,1674,1605,1916,1858,2207,2062,2500,2286,2500,2302
214,231,408,510,641,842,874,996,874,1114,1107,1235,1340,1413,1534,1545,1767,1797,2000,1986,2000,1986
214,275,408,467,641,706,874,943,874,1031,1107,1271,1340,1494,1534,1637,1767,1862,2000,2024,2000,2024
214,250,408,450,641,750,874,950,874,1050,1107,1250,1340,1450,1534,1690,1767,1810,2000,2000,2000,2000
214,317,408,495,641,726,874,909,874,1018,1107,1222,1340,1485,1534,1628,1767,1941,2000,2117,2000,2119
214,175,408,539,641,763,874,829,874,848,1107,1162,1340,1358,1534,1553,1767,1803,2000,1999,2000,2009
162,200,307,350,484,500,661,650,661,700,838,900,1015,1100,1160,1200,1337,1400,1500,1550,1500,1550
162,181,307,324,484,493,661,672,661,717,838,875,1015,1032,1160,1225,1337,1359,1500,1544,1500,1544
162,140,307,302,484,474,661,623,661,700,838,806,1015,1003,1160,1157,1337,1289,1500,1522,1500,1537
162,170,307,293,484,484,661,658,661,717,838,881,1015,1052,1160,1203,1337,1388,1500,1524,1500,1524
169,232,323,418,508,598,693,792,693,870,878,1065,1063,1278,1217,1417,1402,1594,1600,1707,1600,1707
353,300,672,552,1056,922,1440,1477,1440,1509,1824,1912,2208,2213,2527,2542,2911,2810,3300,3210,3300,3310
353,242,672,523,1056,845,1440,1451,1440,1489,1824,1849,2208,2180,2527,2701,2911,2786,3300,3141,3300,3233
106,159,202,222,319,363,436,432,436,522,553,633,670,825,766,850,883,930,1000,1128,1000,1128
106,138,202,229,319,294,436,479,436,538,553,629,670,759,766,873,883,986,1000,1100,1000,1100
106,110,202,196,319,301,436,439,436,493,553,599,670,712,766,867,883,988,1000,1108,1000,1108
355,335,674,730,1052,1028,1430,1324,1430,1533,1808,1782,2186,2185,2505,2548,2883,2915,3200,3162,3200,3162
355,526,674,877,1052,1209,1430,1586,1430,1740,1808,2121,2186,2497,2505,2770,2883,3164,3200,3399,3200,3407
355,509,674,802,1052,1169,1430,1512,1430,1603,1808,1963,2186,2318,2505,2602,2883,2927,3200,3242,3200,3262
355,572,674,962,1052,1188,1430,1522,1430,1577,1808,2080,2186,2564,2505,2705,2883,2942,3200,3370,3200,3394
86,102,163,193,256,297,349,374,349,391,442,489,535,582,612,661,705,778,800,865,800,865
86,53,163,188,256,270,349,353,349,397,442,507,535,598,612,697,705,783,800,854,800,854
86,86,163,169,256,252,349,333,349,383,442,472,535,563,612,647,705,742,800,831,800,852
86,49,163,125,256,208,349,315,349,334,442,426,535,528,612,611,705,729,800,850,800,850
247,256,469,509,737,712,1005,1018,1005,1116,1273,1335,1541,1553,1763,1823,2031,2043,2300,2243,2300,2255
247,312,469,614,737,888,1005,1156,1005,1259,1273,1524,1541,1790,1763,2038,2031,2229,2300,2393,2300,2393
247,200,469,544,737,777,1005,1020,1005,1089,1273,1373,1541,1626,1763,1823,2031,1990,2300,2248,2300,2271
193,199,367,326,577,671,787,866,787,901,997,1055,1207,1198,1381,1487,1591,1601,1800,1615,1800,1616
193,187,367,413,577,577,787,802,787,867,997,1052,1207,1221,1381,1490,1591,1642,1800,1724,1800,1738
290,348,551,595,866,865,1181,1096,1181,1277,1496,1482,1811,1746,2072,2024,2387,2156,2700,2190,2700,2205
290,211,551,373,866,590,1181,952,1181,1010,1496,1241,1811,1604,2072,1813,2387,1984,2700,2214,2700,2214
290,250,551,440,866,717,1181,958,1181,1277,1496,1321,1811,1545,2072,1736,2387,1954,2700,2177,2700,2232
290,234,551,442,866,695,1181,920,1181,1010,1496,1232,1811,1478,2072,1822,2387,1999,2700,2217,2700,2295
69,62,127,112,196,172,265,252,265,267,334,329,403,393,461,463,524,515,600,515,600,515
268,215,510,517,801,662,1092,994,1092,1076,1383,1301,1674,1529,1916,1733,2207,1918,2500,1989,2500,1989
268,304,510,784,801,961,1092,1382,1092,1418,1383,1733,1674,1877,1916,2088,2207,2271,2500,2385,2500,2385
268,349,510,707,801,945,1092,1377,1092,1468,1383,1795,1674,2147,1916,2485,2207,2720,2500,2827,2500,2827
214,240,408,447,641,630,874,890,874,979,1107,1202,1340,1465,1534,1695,1767,1950,2000,2051,2000,2051
214,223,408,426,641,552,874,825,874,915,1107,1095,1340,1319,1534,1501,1767,1630,2000,1910,2000,1910
214,203,408,403,641,570,874,871,874,902,1107,1104,1340,1305,1534,1536,1767,1784,2000,1946,2000,1946
214,201,408,438,641,597,874,877,874,996,1107,1166,1340,1343,1534,1558,1767,1758,2000,1989,2000,2036
162,203,307,277,484,400,661,621,661,666,838,800,1015,990,1160,1140,1337,1341,1500,1550,1500,1550
162,201,307,292,484,402,661,647,661,684,838,831,1015,1007,1160,1207,1337,1352,1500,1500,1500,1500
162,130,307,300,484,402,661,627,661,699,838,844,1015,971,1160,1133,1337,1307,1500,1476,1500,1476
162,165,307,334,484,440,661,650,661,673,838,845,1015,1020,1160,1147,1337,1312,1500,1431,1500,1431
306,132,481,361,656,429,656,625,831,709,1006,826,1151,1008,1326,1157,1500,1251,1500,1278,1500,1278
353,343,672,627,1056,855,1440,1583,1440,1687,1824,2018,2208,2383,2527,2618,2911,2981,3300,3183,3300,3183
353,467,672,801,1056,1003,1440,1474,1440,1772,1824,2123,2208,2463,2527,3026,2911,3415,3300,3625,3300,3631
353,372,672,684,1056,887,1440,1409,1440,1693,1824,2098,2208,2383,2527,2809,2911,3250,3300,3645,3300,3645
353,367,672,656,1056,900,1440,1494,1440,1698,1824,2091,2208,2463,2527,2900,2911,3180,3300,3497,3300,3526
106,130,202,261,319,343,436,483,436,543,553,644,670,758,766,865,883,1069,1000,1069,1000,1069
106,130,202,221,319,279,436,479,436,519,553,656,670,764,766,865,883,1020,1000,1069,1000,1069
106,127,202,153,319,237,436,396,436,423,553,557,670,712,766,840,883,943,1000,9,1000,9
355,412,674,777,1052,1095,1430,1612,1430,1857,1808,2244,2186,2605,2505,2942,2883,3168,3200,3294,3200,3303
355,455,674,705,1052,975,1430,1459,1430,1574,1808,1871,2186,2240,2505,2641,2883,3038,3200,3296,3200,3296
355,230,674,563,1052,851,1430,1380,1430,1474,1808,1775,2186,2240,2505,2458,2883,2820,3200,3147,3200,3200
86,90,163,193,256,235,349,377,349,400,442,513,535,596,612,675,705,763,800,802,800,802
86,98,163,209,256,265,349,383,349,444,442,504,535,586,612,658,705,743,800,830,800,830
86,71,163,157,256,219,349,330,349,341,442,504,535,531,612,631,705,726,800,800,800,800
53,62,101,107,159,131,217,243,217,255,275,321,333,365,381,425,439,473,500,531,500,531
53,63,101,110,159,127,217,236,217,247,275,314,333,374,381,436,439,505,500,537,500,537
295,480,561,759,882,901,1203,1233,1203,1470,1524,1983,1845,2065,2111,2249,2432,2552,2600,2640,2600,2640
295,319,561,602,882,772,1203,1162,1203,1344,1524,1614,1845,1886,2111,2150,2432,2426,2600,2629,2600,2672
295,319,561,566,882,735,1203,1162,1203,1331,1524,1587,1845,1807,2111,2020,2432,2182,2600,2462,2600,2541
69,54,127,118,196,198,265,298,265,328,334,413,403,452,461,473,524,574,600,600,600,600
69,54,127,105,196,164,265,231,265,232,334,304,403,351,461,411,524,486,600,545,600,545
282,386,535,621,837,865,1139,1072,1139,1167,1441,1485,1743,1818,1996,2031,2298,2258,2600,2493,2600,2564
282,226,535,546,837,775,1139,1101,1139,1194,1441,1344,1743,1516,1996,2037,2298,2234,2600,2642,2600,2686
282,351,535,558,837,816,1139,1136,1139,1291,1441,1587,1743,1877,1996,2128,2298,2393,2600,2643,2600,2784
214,223,408,442,641,686,874,842,874,991,1107,1210,1340,1390,1534,1580,1767,1762,2000,2050,2000,2050
214,264,408,464,641,710,874,921,874,1028,1107,1248,1340,1487,1534,1706,1767,1878,2000,2055,2000,2055
214,211,408,460,641,660,874,900,874,961,1107,1160,1340,1450,1534,1720,1767,1900,2000,2100,2000,2100
214,202,408,450,641,683,874,871,874,900,1107,1160,1340,1400,1534,1606,1767,1830,2000,2001,2000,2001
160,90,304,284,478,434,652,621,652,680,826,800,1000,980,1144,1145,1318,1270,1500,1500,1500,1500
160,107,304,326,478,523,652,690,652,716,826,916,1000,1088,1144,1231,1318,1361,1500,1500,1500,1500
160,126,304,281,478,455,652,617,652,692,826,870,1000,1019,1144,1134,1318,1330,1500,1515,1500,1517
169,200,323,384,508,564,693,732,693,743,878,938,1063,1112,1217,1305,1402,1477,1600,1611,1600,1611
169,200,323,343,508,509,693,650,693,742,878,944,1063,1125,1217,1275,1402,1362,1600,1462,1600,1462
