candidate_label,granularity,difference_order,transform_name,training_smoothing_window,hidden_units,learning_rate_init,max_iter,validation_mae,validation_rmse,test_mae,test_rmse,warning_count,warnings
30s_d1_smooth_1min,30s,1,first_difference,1min,20,0.001,5000,1.5803846117026314,1.970645906653564,1.5714651753229922,1.9750329938567848,0,
30s_d1_smooth_1min,30s,1,first_difference,1min,20,0.005,5000,1.2802035717226432,1.615235751844363,1.2822843024389965,1.6201959961364245,0,
30s_d1_smooth_1min,30s,1,first_difference,1min,20,0.01,5000,1.2361343701029577,1.5591264640105218,1.2389312723313701,1.5647978947834116,0,
30s_d2_smooth_none,30s,2,second_difference,none,20,0.001,5000,1.6051291055834294,1.9945413845449327,1.5771262980635183,1.9896068727905931,0,
30s_d2_smooth_none,30s,2,second_difference,none,20,0.005,5000,1.3427644749683185,1.6676635238520385,1.3286303053027035,1.6742985558255674,0,
30s_d2_smooth_none,30s,2,second_difference,none,20,0.01,5000,1.3084460312863881,1.6220439032016203,1.2955145244314643,1.630279956008555,0,
30s_d2_smooth_30s,30s,2,second_difference,30s,20,0.001,5000,1.6051291055834294,1.9945413845449327,1.5771262980635183,1.9896068727905931,0,
30s_d2_smooth_30s,30s,2,second_difference,30s,20,0.005,5000,1.3427644749683185,1.6676635238520385,1.3286303053027035,1.6742985558255674,0,
30s_d2_smooth_30s,30s,2,second_difference,30s,20,0.01,5000,1.3084460312863881,1.6220439032016203,1.2955145244314643,1.630279956008555,0,
30s_d2_smooth_1min,30s,2,second_difference,1min,20,0.001,5000,1.6295276035839987,2.0290471609564347,1.6015107105176123,2.02143271179738,0,
30s_d2_smooth_1min,30s,2,second_difference,1min,20,0.005,5000,1.5677096609585,1.946223916436311,1.5440262473701494,1.9461032662742592,0,
30s_d2_smooth_1min,30s,2,second_difference,1min,20,0.01,5000,1.4872912320587588,1.8432895073529596,1.4631954608862037,1.8463957807033047,0,
1min_d0_smooth_none,1min,0,level,none,10,0.001,5000,7.1302328188473645,9.10820240102309,6.963677703038015,9.009514042018264,0,
1min_d0_smooth_none,1min,0,level,none,10,0.005,5000,6.505498455931067,8.30390062520265,6.203389226955144,8.03573637364788,0,
1min_d0_smooth_none,1min,0,level,none,10,0.01,5000,6.417198050849789,8.1880701508973,5.97162237707853,7.741178867035302,0,
1min_d0_smooth_1min,1min,0,level,1min,10,0.001,5000,7.1302328188473645,9.10820240102309,6.963677703038015,9.009514042018264,0,
1min_d0_smooth_1min,1min,0,level,1min,10,0.005,5000,6.505498455931067,8.30390062520265,6.203389226955144,8.03573637364788,0,
1min_d0_smooth_1min,1min,0,level,1min,10,0.01,5000,6.417198050849789,8.1880701508973,5.97162237707853,7.741178867035302,0,
1min_d1_smooth_none,1min,1,first_difference,none,10,0.001,5000,2.1837700353827785,2.7743992338689214,2.2895480098045455,2.8881727778111967,0,
1min_d1_smooth_none,1min,1,first_difference,none,10,0.005,5000,2.098185447435822,2.6603998390223316,2.2032809335350123,2.77830442067739,0,
1min_d1_smooth_none,1min,1,first_difference,none,10,0.01,5000,2.031799419498208,2.5760671780332443,2.136909542651629,2.6930024969565394,0,
1min_d1_smooth_1min,1min,1,first_difference,1min,10,0.001,5000,2.1837700353827785,2.7743992338689214,2.2895480098045455,2.8881727778111967,0,
1min_d1_smooth_1min,1min,1,first_difference,1min,10,0.005,5000,2.098185447435822,2.6603998390223316,2.2032809335350123,2.77830442067739,0,
1min_d1_smooth_1min,1min,1,first_difference,1min,10,0.01,5000,2.031799419498208,2.5760671780332443,2.136909542651629,2.6930024969565394,0,
1min_d2_smooth_none,1min,2,second_difference,none,10,0.001,5000,2.546423018816925,3.1540410946392425,2.6749240891465367,3.3733779197842684,0,
1min_d2_smooth_none,1min,2,second_difference,none,10,0.005,5000,2.4292749266449225,3.0161199253259947,2.5639497341485638,3.2300271891636716,0,
1min_d2_smooth_none,1min,2,second_difference,none,10,0.01,5000,2.3375014419557196,2.908124689907337,2.4700471822062253,3.1094403001352395,0,
1min_d2_smooth_1min,1min,2,second_difference,1min,10,0.001,5000,2.546423018816925,3.1540410946392425,2.6749240891465367,3.3733779197842684,0,
1min_d2_smooth_1min,1min,2,second_difference,1min,10,0.005,5000,2.4292749266449225,3.0161199253259947,2.5639497341485638,3.2300271891636716,0,
1min_d2_smooth_1min,1min,2,second_difference,1min,10,0.01,5000,2.3375014419557196,2.908124689907337,2.4700471822062253,3.1094403001352395,0,
