model_key,model_label,split,granularity,mae,rmse,mape,smape,bias,r2,configuration,mae_rank
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,1.5099948251145296,1.8961704171014966,0.19405597380858788,0.19403916115125847,0.05272992757597738,0.9599146312819914,first_difference | smooth=none | lr=0.01,1.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,1.1227736602996625,1.4283691095754334,0.14424180823221372,0.14425072462096744,-0.05245551717975974,0.9773455136706644,level | smooth=1min | lr=0.01,15.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,1.1431873742305887,1.4557574656540646,0.1468331114200564,0.146855653320171,-0.11917737869227067,0.9764684045998742,level | smooth=1min | lr=0.005,16.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,1.5316834370631351,1.9359973195414313,0.19680650051671897,0.1968277373708122,-0.050285033932033193,0.958392521174803,first_difference | smooth=1min | lr=0.0001,17.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,2.001445622012636,2.501700529503342,0.2572208164228248,0.25728121335767,-0.09135141812994454,0.9305458275191368,second_difference | smooth=1min | lr=0.0001,18.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,2.0699789272148363,2.611662408728957,0.2660319746565158,0.26589287177764537,0.2703338858417694,0.924305944141698,second_difference | smooth=1min | lr=0.01,19.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,2.08109222773252,2.6045015599973294,0.2674565547457878,0.2675261476467474,-0.12442447393950844,0.9246971971728619,first_difference | smooth=1min | lr=0.005,20.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,2.101069495568194,2.637813156223727,0.27003284656871146,0.2700787139991392,-0.07581146639073263,0.9227586318894084,first_difference | smooth=1min | lr=0.01,21.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,2.1728782284759953,2.727298410456861,0.27926642113721156,0.27932110710814734,-0.09558954536930507,0.9174290623737517,first_difference | smooth=1min | lr=0.001,22.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,2.2165608701111603,2.7821453755360364,0.284872277949463,0.28484840495334895,0.09133453072780934,0.9141011520614835,second_difference | smooth=1min | lr=0.001,23.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,2.230864698828941,2.825094786332787,0.2867339918180226,0.2867397927013544,-0.03201773735893537,0.9114285514205691,second_difference | smooth=1min | lr=0.005,24.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,raw,0.10449966238762774,0.13172263856391772,0.013428597097608167,0.013428738873406065,-0.006766464113665246,0.9998077338861279,first_difference | smooth=none | lr=0.0001,1.0
